Service Name,Physical Address Line 1,Physical Address Line 2,Physical Suburb,Physical State,Physical Post Code,2019 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude
Hocart Lodge,3 Knowles Street,,HARVEY,WA,6220,South West,Residential,70,,,Great Southern Care Company Pty Ltd,Private Incorporated Body,Inner Regional Australia,-33.08362728,115.8928571
SwanCare Waminda,1 Adie Court,,BENTLEY,WA,6102,Metropolitan South East,Residential,120,,,SwanCare Group Inc.,Charitable,Major Cities of Australia,-32.00182678,115.8990348
Bedingfeld Lodge,4 Bedingfeld Road,,PINJARRA,WA,6208,Metropolitan South West,Residential,70,,,Bedingfeld Park Inc,Community Based,Major Cities of Australia,-32.63911,115.87268
Villa Maria,173 Lesmurdie Road,,LESMURDIE,WA,6076,Metropolitan East,Residential,36,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-31.99301,116.05443
J E Murray Home,16 Deerness Way,,ARMADALE,WA,6112,Metropolitan South East,Residential,78,,,Dale Cottages (Inc.),Community Based,Major Cities of Australia,-32.15862143,116.0146968
Baptistcare Moonya,59 Ipsen Street,,MANJIMUP,WA,6258,South West,Residential,30,,,Baptistcare WA Limited,Religious,Outer Regional Australia,-34.24173508,116.1353162
Capecare,20 RAY Avenue,,BROADWATER,WA,6280,South West,Residential,96,,,Ray Village Aged Services Inc,Charitable,Inner Regional Australia,-33.65821282,115.2692108
Aegis Lincoln Park,21 Wright Street,,HIGHGATE,WA,6000,Metropolitan East,Residential,46,,,Aegis Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-31.9431165,115.8713247
Burswood Care Annie Bryson McKeown Lodge,2 Angove Road,,SPENCER PARK,WA,6330,Great Southern,Residential,38,,,Burswood Care Pty Ltd,Private Incorporated Body,Outer Regional Australia,-35.00975,117.90207
Burswood Care Gwen Hardie Lodge,67 Mermaid Avenue,,EMU POINT,WA,6330,Great Southern,Residential,58,,,Burswood Care Pty Ltd,Private Incorporated Body,Outer Regional Australia,-34.998,117.93948
Casson House,2-10 Woodville Street,,NORTH PERTH,WA,6006,Metropolitan East,Residential,70,,,Casson Homes Incorporated,Community Based,Major Cities of Australia,-31.93098353,115.8580359
Coolibah Care,30 Third Avenue,,MANDURAH,WA,6210,Metropolitan South West,Residential,136,,,Mandurah Retirement Village,Community Based,Major Cities of Australia,-32.54103,115.74273
Gordon Lodge,Air Force Memorial Estate,2 Bull Creek Drive,BULL CREEK,WA,6149,Metropolitan South West,Residential,62,,,Air Force Association (Western Australian Division) Incorporated,Charitable,Major Cities of Australia,-32.04799739,115.8560915
Braemar Village,24-32 Charsley Street,,WILLAGEE,WA,6156,Metropolitan South West,Residential,52,,,The Commissioners of the Presbyterian Church in WA,Religious,Major Cities of Australia,-32.051186,115.814931
Springhaven Frail Aged Hostel,15 Barracks Place,,KOJONUP,WA,6395,Great Southern,Residential,22,,,Shire of Kojonup,Local Government,Outer Regional Australia,-33.82852,117.15319
James Brown Care Centre,171 Albert Street,,OSBORNE PARK,WA,6017,Metropolitan North,Residential,64,,,Amana Living Incorporated,Religious,Major Cities of Australia,-31.89782,115.82497
Moline House,7 Deanmore Road,,KARRINYUP,WA,6018,Metropolitan North,Residential,60,,,Amana Living Incorporated,Religious,Major Cities of Australia,-31.88158472,115.7674276
Parry Care Centre,74 Warlingham Drive,,LESMURDIE,WA,6076,Metropolitan East,Residential,40,,,Amana Living Incorporated,Religious,Major Cities of Australia,-31.99929,116.04778
Joseph Cooke House,2 Houtmans Street,,SHELLEY,WA,6148,Metropolitan South East,Residential,57,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,-32.03953755,115.8744593
Villa Terenzio,33 Kent Road,,MARANGAROO,WA,6064,Metropolitan North,Residential,182,,,Italian Aged Care Incorporated,Community Based,Major Cities of Australia,-31.830433,115.822859
Victoria Park Hostel,1 Croesus Street,,KALGOORLIE,WA,6430,Goldfields,Residential,29,,,Southern Cross Care (WA) Inc,Religious,Outer Regional Australia,-30.74117384,121.4751116
ValleyView Residence,3-5 Vernon Street,,COLLIE,WA,6225,South West,Residential,64,,,The Riverview Residence Collie (Inc),Community Based,Inner Regional Australia,-33.35008406,116.1656231
Villa Pelletier Hostel,48 Ruislip Street,,WEST LEEDERVILLE,WA,6007,Metropolitan North,Residential,40,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,-31.936211,115.829042
Amaroo Village Buckley Caring Centre,60 Stalker Road,,GOSNELLS,WA,6110,Metropolitan South East,Residential,128,,,Amaroo Care Services Inc,Community Based,Major Cities of Australia,-32.075629,115.995727
Rosewood Care Leederville,5 Britannia Road,,LEEDERVILLE,WA,6007,Metropolitan East,Residential,121,,,Rosewood Care Group (Inc),Charitable,Major Cities of Australia,-31.926981,115.839681
Wattle Hill Lodge,2 Wattle Street,,BUNBURY,WA,6230,South West,Residential,62,,,Wattle Hill Lodge Inc,Community Based,Inner Regional Australia,-33.33509515,115.629873
